Designator,Mid X,Mid Y,Rotation,Layer
BZ101,118.7,-70.502,0.0,top
C101,90.2095,-84.3705,90.0,top
C102,93.4595,-86.1205,90.0,top
C103,102.9595,-85.983,90.0,top
C104,106.2095,-84.233,90.0,top
C105,97.75,-103.95,-90.0,top
C106,102.436,-100.14,90.0,top
C107,91.72,-107.33,0.0,top
C108,84.0,-104.95,-90.0,top
C112,81.25,-96.45,-90.0,top
C201,110.292,-52.480106,90.0,top
C202,81.75,-119.75,90.0,top
C203,84.25,-129.25,180.0,top
C204,87.152333,-128.016106,90.0,top
C205,84.25,-126.25,0.0,top
C206,90.25,-129.25,0.0,top
C207,90.25,-126.25,0.0,top
C208,90.25,-111.75,180.0,top
C209,90.25,-113.25,0.0,top
C210,85.25,-114.75,180.0,top
C301,94.292,-51.480106,-90.0,top
C302,98.75,-119.7,90.0,top
C303,101.25,-129.2,0.0,top
C304,104.25,-127.7,90.0,top
C305,101.25,-126.2,0.0,top
C306,107.25,-129.2,0.0,top
C307,107.25,-126.2,0.0,top
C308,107.25,-111.7,180.0,top
C309,107.25,-113.2,0.0,top
C310,102.25,-114.7,180.0,top
C401,110.292,-57.480106,90.0,top
C402,115.75,-119.7,90.0,top
C403,118.25,-129.2,0.0,top
C404,121.25,-127.95,90.0,top
C405,118.25,-126.2,0.0,top
C406,124.25,-129.2,0.0,top
C407,124.25,-126.2,0.0,top
C408,124.25,-111.7,180.0,top
C409,124.25,-113.2,0.0,top
C410,119.25,-114.7,180.0,top
C501,132.5,-92.916106,90.0,top
D101,113.25,-82.7,-90.0,top
D102,118.252333,-82.7,-90.0,top
D103,97.152333,-96.041106,-90.0,top
D104,123.252333,-82.7,-90.0,top
D501,117.938,-90.822,0.0,top
D502,113.352333,-91.816106,180.0,top
D503,130.252333,-92.816106,-90.0,top
J101,74.25,-86.25,180.0,bottom
J102,135.21,-86.25,180.0,bottom
J104,128.86,-132.732,90.0,top
J105,105.582249,-65.667857,90.0,top
J106,96.094,-134.576,0.0,top
Q501,117.938,-93.616,180.0,top
Q502,125.05,-93.616,180.0,top
R101,105.436,-106.89,90.0,top
R102,103.936,-106.89,90.0,top
R103,103.936,-94.89,-90.0,top
R104,84.0,-101.95,90.0,top
R105,85.5,-101.95,-90.0,top
R106,85.5,-104.95,-90.0,top
R107,111.75,-82.7,90.0,top
R108,116.752333,-82.7,90.0,top
R109,98.652333,-96.041106,90.0,top
R110,121.752333,-82.7,90.0,top
R111,81.25,-93.45,90.0,top
R112,81.25,-90.45,-90.0,top
R201,84.25,-127.75,180.0,top
R202,84.25,-124.75,0.0,top
R203,90.25,-127.75,180.0,top
R204,90.25,-124.75,0.0,top
R205,87.5,-112.5,-90.0,top
R206,90.25,-114.75,0.0,top
R301,101.25,-127.7,180.0,top
R302,101.25,-124.7,0.0,top
R303,107.25,-127.7,180.0,top
R304,107.25,-124.7,0.0,top
R305,104.5,-112.45,-90.0,top
R306,107.25,-114.7,0.0,top
R401,118.25,-127.7,180.0,top
R402,118.25,-124.7,0.0,top
R403,124.25,-127.7,180.0,top
R404,124.25,-124.7,0.0,top
R405,121.5,-112.45,-90.0,top
R406,124.25,-114.7,0.0,top
R501,121.494,-93.616,-90.0,top
R502,128.052333,-92.816106,90.0,top
R503,113.352333,-90.316106,0.0,top
SW101,87.5,-92.95,0.0,top
T501,124.542,-103.014,180.0,top
U101,98.2095,-85.783,-90.0,top
U102,91.22,-101.62,90.0,top
U103,107.936,-100.89,90.0,top
U201,104.792,-51.980106,-90.0,top
U202,87.25,-119.75,90.0,top
U301,99.792,-51.980106,90.0,top
U302,104.25,-119.7,90.0,top
U401,104.792,-56.980106,-90.0,top
U402,121.25,-119.7,90.0,top
mouse-bite-2mm-slot_4,116.152333,-59.916106,90.0,top
mouse-bite-2mm-slot_3,122.51,-62.12,0.0,top
mouse-bite-2mm-slot_2,97.11,-78.884,0.0,top
mouse-bite-2mm-slot,122.51,-78.884,0.0,top
